Driver,Porcentaje_CarrerasGanadas, Porcentaje_Abandonos, Ganar_Sin_PolePosition, Porcentaje_VueltasRapidas, Porcentaje_PolePositions, Liderar_Inicio_Final, Max_Podios_Consecutivos, Porcentaje_Podios, Campeonatos_EscuderiasDiferentes, Champion 
PROST Alain, 25.63, 29.65, 64.71, 20.6, 16.42, 7, 7, 53.27,2, 1
FANGIO Juan Manuel, 47.06, 27.45, 37.5, 45.1, 56.86, 5, 6, 68.63, 4, 1
SCHUMACHER Michael, 29.64, 22.15, 56.04, 25.08, 22.08, 11, 19, 50.49, 2, 1
VERSTAPPEN Max, 30.14, 15.31, 49.21, 15.79, 19.14, 14, 15, 53.59, 1, 1
HAMILTON Lewis, 29.49, 8.99, 41.9, 18.82, 29.21, 23, 16, 56.74, 2, 1
VETTEL Sebastian, 17.73, 14.72, 41.51, 12.71, 19, 15, 11, 40.8, 1, 1
SENNA Ayrton, 25.73, 37.27, 29.27, 11.8, 40.37, 19, 8, 49.69, 1, 1
LAUDA Niki, 14.62, 46.78, 64.0, 14.04, 13.95, 6, 9, 31.58, 2, 1
ROSBERG Nico, 11.17, 15.53, 34.78, 9.71, 14.56, 7, 9, 27.67, 1, 1
ALONSO Fernando, 7.98, 19.20, 56.25, 6.48, 5.45, 3, 15, 26.43, 1, 1
RAIKKONEN Kimi, 6.02, 20.34, 71.43, 13.18, 5.11, 3, 7, 29.51, 1, 1
PIQUET Nelson, 11.27, 42.16, 78.26, 11.27, 11.76, 4, 9, 29.41, 2, 1
BUTTON Jenson, 4.9, 24.51, 66.67, 2.61, 2.59, 2, 7, 16.34, 1, 1
HAKKINEN Mika, 12.42, 38.51, 50, 15.53, 16.05, 4, 6, 31.68, 1, 1
HILL Damon, 19.13, 35.65, 68.18, 16.52, 16.05, 4, 6, 36.52, 1, 1
STEWART Jackie, 27.27, 37.37, 68.18, 15.15, 17, 11, 5, 43.43, 2, 1
FITTIPALDI Emerson, 9.72, 34.72, 71.43, 4.17, 4.14, 1, 6, 24.31, 2, 1
JONES Alan, 10.34, 41.38, 83.33, 11.21, 5.17, 2, 5, 20.69, 1, 1
LECLERC Charles, 5.44, 14.29, 37.5, 6.8, 17.45, 2, 5, 29.25, 0, 0
RICCIARDO Daniel, 3.11, 15.18, 87.5, 6.61, 1.17, 1, 5, 12.45, 0, 0
BARRICHELLO Rubens, 3.41, 30.03, 54.55, 5.26, 4.31, 1, 7, 21.05, 0, 0 
MANSELL Nigel, 16.58, 49.20, 45.16, 16.04, 17.11, 9, 7, 31.55, 1, 1
MOSS Stirling, 24.24, 50, 50, 28.79, 24.24, 5,3, 36.36, 0, 0
MONTOYA Juan-Pablo, 7.45, 31.91, 57.14, 12.77, 13.68, 1, 8, 31.91, 0, 0
BOTTAS Valtteri, 4.07, 11.38, 40, 7.72, 8.13, 1, 6, 27.24, 0, 0
REUTEMANN Carlos, 8.22, 34.93, 75, 4.11, 4.11, 4, 8, 30.82, 0, 0
WEBBER Mark, 4.19, 26.51, 55.56, 8.84, 6.02, 3, 3, 19.53, 0, 0
HILL Graham, 8, 44.57, 71.43, 5.71, 7.43, 1, 5, 20.57, 2, 1
BRABHAM Jack, 11.38, 46.34, 57.14, 9.76, 10.48, 5, 5, 25.2, 2, 1
CLARK Jim, 34.72, 38.89, 40.0, 38.89, 45.83, 13, 9, 44.44, 1, 1
